,Unnamed: 0,Unnamed: 0.1,obj_id,image_id,name,x,y,width,height,conf_score,Label,person_id
0,0,0,0,0,Person1_1.csv,1479,11,1922,1583,0.33860999999999997,birdcall,1
1,1,1,1,0,Person1_1.csv,2554,313,955,888,0.28139000000000003,eyeball,1
2,2,2,2,0,Person1_1.csv,1855,1724,578,1079,0.34569,pinkcandle,1
3,3,3,3,0,Person1_1.csv,14,666,1465,2309,0.42683000000000004,pumpkinnotes,1
4,4,4,4,0,Person1_1.csv,1560,1301,1197,615,0.32564,bluesunglasses,1
5,5,5,5,0,Person1_1.csv,14,464,1775,2268,0.38394,yellowbag,1
6,6,6,6,1,Person1_10.csv,14,1704,1654,1331,0.31486,birdcall,1
7,7,7,7,1,Person1_10.csv,1385,595,941,756,0.34418000000000004,eyeball,1
8,8,8,8,1,Person1_10.csv,1654,414,484,1129,0.47155,pinkcandle,1
9,9,9,9,1,Person1_10.csv,1210,11,1331,2349,0.26366999999999996,sign,1
10,10,10,10,1,Person1_10.csv,1600,938,1116,474,0.25055,bluesunglasses,1
11,11,11,11,1,Person1_10.csv,2245,1583,377,444,0.35128000000000004,lavenderdie,1
12,12,12,12,1,Person1_10.csv,1936,11,2111,2137,0.34441,yellowbag,1
13,13,13,13,2,Person1_11.csv,2904,1371,1143,1301,0.31745999999999996,birdcall,1
14,14,14,14,2,Person1_11.csv,162,11,1721,1654,0.32550999999999997,cupcakepaper,1
15,15,15,15,2,Person1_11.csv,619,11,780,1906,0.37005,sign,1
16,16,16,16,3,Person1_2.csv,1828,414,1210,1492,0.26761999999999997,cloudsign,1
17,17,17,17,3,Person1_2.csv,14,908,1412,1019,0.28889000000000004,eyeball,1
18,18,18,18,3,Person1_2.csv,3320,1150,578,938,0.33000999999999997,pinkcandle,1
19,19,19,19,3,Person1_2.csv,1775,968,1291,857,0.28935,redwhistle,1
20,20,20,20,3,Person1_2.csv,2984,242,1062,2712,0.42644,sign,1
21,21,21,21,3,Person1_2.csv,14,11,2688,1744,0.31146,yellowbag,1
22,22,22,22,4,Person1_3.csv,726,928,1721,1321,0.32366999999999996,birdcall,1
23,23,23,23,4,Person1_3.csv,14,646,1425,1452,0.28574,cloudsign,1
24,24,24,24,4,Person1_3.csv,847,1785,888,545,0.25623,eyeball,1
25,25,25,25,4,Person1_3.csv,14,11,1721,1684,0.4276100000000001,partyfavor,1
26,26,26,26,4,Person1_3.csv,1721,807,256,1190,0.42671000000000003,pinkcandle,1
27,27,27,27,4,Person1_3.csv,1076,1331,1533,1402,0.41136999999999996,redwhistle,1
28,28,28,28,4,Person1_3.csv,2473,111,1103,2531,0.55821,sign,1
29,29,29,29,4,Person1_3.csv,1237,1402,1250,414,0.26771999999999996,bluesunglasses,1
30,30,30,30,5,Person1_4.csv,888,10,998,1396,0.34820999999999996,cloudsign,1
31,31,31,31,5,Person1_4.csv,1029,436,746,634,0.26827,eyeball,1
32,32,32,32,5,Person1_4.csv,1281,585,222,743,0.31071,pinkcandle,1
33,33,33,33,5,Person1_4.csv,2087,446,777,2535,0.25358,sign,1
34,34,34,34,5,Person1_4.csv,1200,733,827,396,0.38178,bluesunglasses,1
35,35,35,35,5,Person1_4.csv,11,802,1744,2178,0.5111600000000001,yellowbag,1
36,36,36,36,6,Person1_5.csv,2030,756,296,877,0.34665999999999997,pinkcandle,1
37,37,37,37,6,Person1_5.csv,1922,605,1049,1210,0.28204,hairclip,1
38,38,38,38,7,Person1_6.csv,417,1422,1734,1613,0.44286000000000003,birdcall,1
39,39,39,39,7,Person1_6.csv,498,11,955,837,0.28697,cloudsign,1
40,40,40,40,7,Person1_6.csv,2299,1926,861,706,0.27365,eyeball,1
41,41,41,41,7,Person1_6.csv,14,11,1492,827,0.39516,metalkey,1
42,42,42,42,7,Person1_6.csv,2890,1966,269,1039,0.49738000000000004,pinkcandle,1
43,43,43,43,7,Person1_6.csv,202,1220,2151,1815,0.49754,pumpkinnotes,1
44,44,44,44,7,Person1_6.csv,1909,444,1076,2591,0.4938,sign,1
45,45,45,45,8,Person1_7.csv,2043,1109,1358,615,0.25584,eyeball,1
46,46,46,46,8,Person1_7.csv,1600,384,1707,1986,0.50089,pumpkinnotes,1
47,47,47,47,8,Person1_7.csv,310,11,820,1795,0.5333100000000001,sign,1
48,48,48,48,8,Person1_7.csv,14,202,2043,1916,0.41412,silverstraw,1
49,49,49,49,8,Person1_7.csv,1775,414,1385,1986,0.41576,yellowballoon,1
50,50,50,50,8,Person1_7.csv,1869,646,1183,1573,0.32095,hairclip,1
51,51,51,51,9,Person1_8.csv,1156,706,1465,1371,0.34688,birdcall,1
52,52,52,52,9,Person1_8.csv,1560,736,1183,1281,0.34394,cloudsign,1
53,53,53,53,9,Person1_8.csv,1129,1008,901,807,0.3245,eyeball,1
